Area,Fruit,Vegetables,Exercise,NoExercise,Overweight,Obese,FarmersMarkets,SNAP
National,38.5,22.4,50.2,26.3,35.5,28.3,2.5,21
Alabama,46,25.8,45.4,31.5,35.7,32.4,3.1,4.7
Alaska,39.7,19.2,55.3,22.3,37.7,28.4,4.4,18.8
Arizona,39.5,23.8,51.9,25.2,35.1,26.8,1.3,30.5
Arkansas,50.5,28,41.2,34.4,35.3,34.6,2.7,8.8
California,30.4,17.3,56.3,21.4,36,24.1,2.2,27.4
Colorado,35.7,19.1,60.4,17.9,35.1,21.3,3.2,21.7
Connecticut,33.7,22.2,50.9,24.9,37.6,25,4.3,10.3
Delaware,40.4,28.9,49.7,27.8,33.5,31.1,3.5,6.3
District of Columbia,34.8,20.9,57.7,19.5,30.9,22.9,5.7,60
Florida,38,20.8,50.2,27.7,36.4,26.4,1.1,15.7
Georgia,43.2,23.7,50.8,27.2,35.4,30.3,1.2,21.5
Hawaii,39.2,23.1,60.2,22.1,33.6,21.8,6.4,30.7
Idaho,38.5,20.4,53.9,23.7,35.4,29.6,4.2,9
Illinois,36.7,24,52.4,25.1,35.3,29.4,2.3,10.6
Indiana,43.6,26.9,44,31,35.4,31.8,2.5,11.7
Iowa,39.3,26.8,46.9,28.5,35.7,31.3,7.5,12.2
Kansas,41.8,22.9,49.1,26.5,35.3,30,3.4,18.6
Kentucky,46.2,24.9,46,30.2,34.1,33.2,3.7,9.3
Louisiana,47.5,32.7,45.1,32.2,34.3,33.1,1.4,12.9
Maine,34,17.7,53.6,23.3,36,28.9,6.3,31
Maryland,35.9,22,48.6,25.3,35.9,28.3,2.6,16.3
Massachusetts,32.8,20.1,54.5,23.5,34.4,23.6,4.4,29.8
Michigan,37.7,24.8,53.1,24.4,34.7,31.5,3.2,29.5
Minnesota,38.2,23.6,52.7,23.5,35.6,25.5,3.2,20.1
Mississippi,49.9,30.6,37.4,38.1,34.2,35.1,2.5,26.7
Missouri,43.1,24.3,48.6,28.3,35.1,30.4,2.6,14.8
Montana,38.6,20.5,57.8,22.5,36.8,24.6,6.5,21.5
Nebraska,39.7,23.3,50.1,25.3,35.9,29.6,4.6,8.2
Nevada,35.6,20.8,53.6,23.7,38.6,26.2,1.5,17.5
New Hampshire,33.8,16.8,55.4,22.4,35,26.7,7.3,16.7
New Jersey,35.3,21.4,50.5,26.8,36.5,26.3,1.5,13.4
New Mexico,39.2,21.5,55,24.3,36.3,26.4,3.3,47.8
New York,34.5,22,47.3,26.7,35.9,25.4,3.3,29.5
North Carolina,42.3,22.4,48.6,26.6,36.7,29.4,2.2,12.6
North Dakota,40.3,27.4,45.3,27.6,36.6,31,9.5,1.5
Ohio,41.6,26.3,49.5,28.5,34.7,30.4,2.3,21.5
Oklahoma,50.4,25.3,43.9,33,35.4,32.5,1.9,14.1
Oregon,33.4,16.3,64.1,18.5,33.4,26.5,4.2,45.4
Pennsylvania,37.5,24.7,47.8,26.3,34.5,30,2,20.7
Rhode Island,35.3,21.4,49.1,26.9,37.3,27.3,5.8,27.9
South Carolina,45.2,26.8,49.1,26.9,34.7,31.7,2.7,13.6
South Dakota,39.3,24.5,53.7,23.8,37.1,29.9,4.6,31.6
Tennessee,44.8,24.3,37.7,37.2,34.7,33.7,1.5,11.8
Texas,42.7,21.5,42.1,30.1,35.3,30.9,0.7,18.5
Utah,36.5,20.4,55.3,20.6,35,24.1,1.3,10.8
Vermont,32.8,16.5,58.8,20.5,37.2,24.7,15,50
Virginia,37.4,21.4,51.9,25.5,36.8,27.2,2.8,14.5
Washington,36.6,18.2,56.3,20,34.3,27.2,2.1,35.6
West Virginia,46,24.2,47.6,31.4,33.7,35.1,4.4,19.8
Wisconsin,37.8,25.8,53.4,23.8,36.7,29.8,5.2,13.1
Wyoming,40.9,20.1,54.2,25.1,36.6,27.8,7.6,7
